Series Name,Dec-00,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun,1-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,2-Jan,2-Feb,2-Mar,2-Apr,2-May,2-Jun,2-Jul,2-Aug,2-Sep,2-Oct,2-Nov,2-Dec,3-Jan,3-Feb,3-Mar,3-Apr,3-May,3-Jun,3-Jul,3-Aug,3-Sep,3-Oct,3-Nov,3-Dec,4-Jan,4-Feb,4-Mar,4-Apr,4-May,4-Jun,4-Jul,4-Aug,4-Sep,4-Oct,4-Nov,4-Dec,5-Jan,5-Feb,5-Mar,5-Apr,5-May,5-Jun,5-Jul,5-Aug,5-Sep,5-Oct,5-Nov,5-Dec,6-Jan,6-Feb,6-Mar,6-Apr,6-May,6-Jun,6-Jul,6-Aug,6-Sep,6-Oct,6-Nov,6-Dec,7-Jan,7-Feb,7-Mar,7-Apr,7-May,7-Jun,7-Jul,7-Aug,7-Sep,7-Oct,7-Nov,7-Dec,8-Jan,8-Feb,8-Mar,8-Apr,8-May,8-Jun,8-Jul,8-Aug,8-Sep,8-Oct,8-Nov,8-Dec,9-Jan,9-Feb,9-Mar,9-Apr,9-May,9-Jun,9-Jul,9-Aug,9-Sep,9-Oct,9-Nov,9-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,,20-Jul
"Hires rate, Total nonfarm",4.1,4.3,4,4.2,3.9,4.1,3.9,4,4,3.8,3.9,3.7,3.7,3.7,3.7,3.6,3.8,3.7,3.7,3.8,3.7,3.7,3.7,3.7,3.7,3.9,3.6,3.4,3.5,3.6,3.6,3.6,3.6,3.7,3.8,3.7,3.8,3.7,3.7,4,3.9,3.8,3.8,3.7,3.8,3.8,3.9,3.9,3.9,3.9,4,4,4,3.9,4,4,4,4.1,3.8,4,3.9,3.9,4,4.1,3.8,4,4,4.1,3.9,3.9,3.9,4,3.8,3.9,3.8,4,3.9,4,3.8,3.8,3.9,3.9,3.9,3.7,3.7,3.7,3.7,3.6,3.6,3.4,3.6,3.4,3.4,3.3,3.3,3,3.2,3.1,3,2.9,2.9,2.9,2.8,3,2.9,3,3,3.1,3.1,3,3,3.3,3.2,3.4,3.1,3.2,3.1,3.1,3.2,3.2,3.3,3.1,3.2,3.4,3.3,3.2,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.4,3.3,3.2,3.3,3.2,3.3,3.3,3.3,3.3,3.4,3.2,3.4,3.4,3.3,3.3,3.5,3.5,3.3,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.6,3.5,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.6,3.7,3.7,3.8,3.9,3.6,3.9,3.7,3.7,3.6,3.7,3.8,3.7,3.6,3.6,3.7,3.7,3.8,3.7,3.7,3.6,3.7,3.9,3.7,3.8,3.7,3.8,3.7,3.7,3.7,3.8,3.8,3.8,3.9,3.9,3.8,3.9,3.8,3.9,3.9,3.8,3.9,3.8,3.8,4,3.8,3.8,4,3.9,3.9,3.8,3.9,3.9,3.9,3.8,3.4,3.1,5.4,5.1,,4.1(P)
"Job openings rate, Total nonfarm",3.5,3.9,3.6,3.4,3.5,3.3,3.2,3.3,3,3,2.8,2.7,2.6,2.8,2.5,2.7,2.7,2.6,2.5,2.6,2.6,2.5,2.6,2.5,2.3,2.6,2.4,2.3,2.4,2.5,2.5,2.3,2.4,2.3,2.5,2.4,2.5,2.6,2.6,2.6,2.7,2.8,2.5,2.9,2.6,2.8,2.9,2.5,2.9,2.8,2.8,2.9,3.1,2.8,3,3.1,3,3.1,3,3,3,3.1,3,3.3,3.5,3.2,3.3,3.2,3.3,3.4,3.3,3.2,3.2,3.3,3.2,3.5,3.4,3.3,3.4,3.3,3.2,3.3,3.3,3.2,3.1,3.2,3,3,2.9,3,2.7,2.7,2.6,2.3,2.4,2.3,2.2,2,2.1,1.9,1.7,1.9,1.9,1.7,1.8,1.9,1.8,1.8,1.9,2.1,2,2,2.4,2.3,2.1,2.3,2.3,2.2,2.4,2.3,2.2,2.3,2.4,2.4,2.5,2.4,2.6,2.7,2.5,2.8,2.7,2.6,2.7,2.8,2.6,2.9,2.8,2.8,2.8,2.7,2.8,2.8,2.7,2.7,2.8,2.8,2.9,2.9,2.9,3,3,2.8,2.9,2.9,3,2.8,2.8,2.9,3.1,3.1,3.3,3.3,3.5,3.4,3.7,3.4,3.5,3.3,3.4,3.7,3.7,3.6,3.9,3.8,3.6,4.1,3.7,3.7,3.9,3.8,3.8,4,3.9,4.1,3.9,3.9,3.8,4,3.8,3.9,3.7,3.9,3.9,3.7,3.9,3.8,4,3.8,4.2,4.2,4.1,4.1,4.2,4,4.1,4.3,4.3,4.4,4.5,4.5,4.7,4.7,4.6,4.6,4.6,4.8,4.6,4.8,4.5,4.7,4.6,4.6,4.5,4.6,4.5,4.4,4.6,4.3,4.1,4.4,4.4,3.8,3.7,3.9,4.2,,4.5(P)
"Total separations rate, Total nonfarm",3.9,4.5,3.9,4.2,4.1,4.1,4,4.1,4.1,3.9,4.2,3.9,3.7,4,3.7,3.6,3.8,3.7,3.7,3.9,3.7,3.8,3.6,3.6,3.8,3.9,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.6,3.8,3.7,3.6,3.7,3.7,3.7,3.7,3.6,3.9,3.7,3.8,3.8,3.9,3.8,3.8,3.8,3.7,3.9,4,3.8,3.7,3.8,3.8,3.8,3.8,3.7,4,3.9,3.9,3.8,3.7,3.9,3.9,3.7,3.9,3.7,3.8,3.8,3.8,3.7,3.8,3.9,3.8,3.8,3.7,3.6,3.8,3.7,3.6,3.8,3.5,3.7,3.5,3.7,3.6,3.7,3.5,3.6,3.7,3.6,3.5,3.6,3.2,3.2,3.3,3.1,3.2,3.1,3.1,3.2,3.1,3.1,3.1,3,3,3.3,3.3,3.1,3.1,3,3.1,3.2,3.1,3.1,3.1,3,3.2,3.2,3.2,3.2,3.2,3.1,3.2,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.1,3.2,3,3.2,3.2,3,3.2,3.1,3.1,3.3,3.3,3.2,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.3,3.5,3.5,3.3,3.4,3.5,3.4,3.6,3.5,3.4,3.5,3.4,3.6,3.6,3.5,3.5,3.6,3.6,3.7,3.6,3.6,3.6,3.5,3.5,3.6,3.4,3.5,3.5,3.5,3.7,3.5,3.6,3.5,3.6,3.7,3.6,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.7,3.8,3.7,3.7,3.8,3.7,3.8,3.7,3.7,3.8,3.8,3.7,9.7,7.6,3.2,3.6,,3.6(P)
"Hires rate, Total private",4.5,4.8,4.4,4.6,4.4,4.5,4.3,4.4,4.4,4.2,4.3,4.2,4.1,4.1,4.1,4,4.2,4.1,4.2,4.2,4.1,4.2,4.1,4.1,4.2,4.3,4.1,3.8,4,4,4,4,4.1,4.2,4.2,4.1,4.3,4.2,4.1,4.4,4.4,4.2,4.3,4.2,4.3,4.3,4.3,4.4,4.3,4.4,4.4,4.4,4.5,4.4,4.5,4.4,4.5,4.6,4.3,4.4,4.4,4.4,4.5,4.5,4.3,4.5,4.5,4.5,4.4,4.2,4.4,4.5,4.2,4.4,4.1,4.4,4.3,4.4,4.2,4.2,4.3,4.3,4.4,4.2,4.1,4.1,4.1,4,4,3.8,4,3.8,3.8,3.7,3.7,3.4,3.6,3.4,3.4,3.3,3.2,3.2,3.1,3.3,3.3,3.4,3.3,3.5,3.5,3.4,3.3,3.7,3.6,3.4,3.6,3.6,3.5,3.5,3.6,3.6,3.7,3.4,3.7,3.8,3.7,3.7,3.7,3.7,3.7,3.8,3.7,3.7,3.7,3.7,3.8,3.8,3.7,3.8,3.7,3.6,3.7,3.6,3.7,3.7,3.7,3.7,3.8,3.6,3.8,3.8,3.7,3.7,3.9,3.9,3.7,3.7,3.7,3.7,3.8,3.8,3.9,3.9,3.9,4,3.9,4.1,4.1,4,4.1,4,4,4,4.1,4,4,4,4,4.1,4.1,4.1,4.3,4,4.3,4.1,4.1,4,4,4.1,4,4,4,4.1,4.1,4.2,4.1,4.1,4,4.1,4.3,4.2,4.2,4.1,4.2,4.1,4.1,4.1,4.2,4.2,4.2,4.3,4.3,4.2,4.3,4.1,4.3,4.3,4.2,4.3,4.2,4.2,4.4,4.2,4.2,4.4,4.2,4.3,4.2,4.2,4.3,4.3,4.2,3.7,3.5,6.2,5.7,,4.6(P)
"Job openings rate, Total private",3.8,4.2,3.9,3.6,3.7,3.5,3.3,3.5,3.1,3.2,2.9,2.8,2.8,3,2.6,2.8,2.8,2.7,2.7,2.7,2.8,2.6,2.8,2.7,2.4,2.7,2.5,2.4,2.6,2.7,2.7,2.4,2.6,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.9,3,2.6,3.1,2.8,3.1,3.1,2.7,3.1,3.1,3.1,3.2,3.4,3,3.2,3.4,3.2,3.4,3.3,3.2,3.2,3.4,3.3,3.6,3.8,3.4,3.5,3.4,3.6,3.6,3.6,3.4,3.4,3.6,3.5,3.7,3.6,3.5,3.7,3.5,3.4,3.5,3.5,3.4,3.3,3.5,3.2,3.2,3.1,3.2,2.9,2.9,2.8,2.4,2.6,2.4,2.4,2.1,2.2,1.9,1.8,2.1,2,1.8,1.9,2,1.9,1.9,2,2.2,2.1,2.1,2.3,2.4,2.3,2.5,2.4,2.3,2.6,2.5,2.3,2.5,2.6,2.6,2.7,2.6,2.7,3,2.7,3,2.9,2.8,2.9,3.1,2.8,3.1,3,3,3,3,2.9,3,2.9,3,3,3,3,3.1,3.1,3.2,3.2,3,3.1,3.1,3.3,3,3.1,3.1,3.3,3.3,3.5,3.6,3.7,3.7,4,3.6,3.8,3.5,3.7,3.9,4,3.8,4.1,4.1,3.8,4.5,4,4,4.2,4,4.1,4.3,4.2,4.4,4.2,4.1,4.1,4.3,4.1,4.1,4,4.1,4.1,4,4.2,4.1,4.3,4.1,4.4,4.5,4.4,4.4,4.5,4.4,4.3,4.6,4.5,4.7,4.8,4.8,5,5,4.9,5,5,5.1,5,5.1,4.7,4.9,4.9,4.9,4.8,4.8,4.8,4.7,4.8,4.5,4.3,4.6,4.6,3.9,3.8,4.1,4.4,,4.8(P)
"Total separations rate, Total private",4.4,5,4.3,4.7,4.6,4.5,4.5,4.6,4.5,4.4,4.7,4.4,4.2,4.5,4.2,4,4.3,4.2,4.2,4.4,4.2,4.2,4,4,4.2,4.3,4.1,4,4,4,4.1,4,4,4,4.1,4,4.1,4.1,4,4.2,4.2,4,4.2,4.1,4.2,4.1,4,4.3,4.2,4.3,4.2,4.4,4.2,4.3,4.2,4.2,4.3,4.5,4.2,4.1,4.3,4.2,4.3,4.2,4.2,4.4,4.3,4.4,4.2,4.1,4.4,4.3,4.2,4.3,4.1,4.2,4.3,4.3,4.1,4.2,4.4,4.2,4.3,4.1,4.1,4.2,4.2,4,4.2,3.9,4.1,4,4.1,4,4.1,4,4.1,4.2,4.1,4,4,3.5,3.6,3.7,3.5,3.5,3.5,3.4,3.6,3.5,3.4,3.5,3.4,3.3,3.5,3.6,3.4,3.4,3.3,3.5,3.5,3.5,3.4,3.5,3.4,3.5,3.6,3.5,3.5,3.6,3.5,3.6,3.4,3.5,3.6,3.5,3.6,3.7,3.6,3.5,3.6,3.4,3.5,3.6,3.4,3.6,3.5,3.4,3.6,3.6,3.5,3.6,3.7,3.7,3.5,3.5,3.5,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.7,3.9,3.9,3.7,3.8,3.9,3.8,4,3.9,3.8,3.9,3.8,3.9,4,3.9,3.9,4,4,4.1,4,3.9,3.9,3.8,3.9,3.9,3.8,3.9,3.9,3.9,4.1,3.9,4,3.9,4,4.1,4,4,4,4,3.9,3.9,4,3.9,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.1,4.1,4.2,4.1,4.2,4.1,4.1,4.2,4.1,4.2,4,4.1,4.2,4.2,4,11.1,8.8,3.5,4,,4.0(P)
"Hires rate, Construction",6.1,7.2,7.1,8.4,6.7,7,6.6,6.5,6,6.3,6.7,6.7,6.7,6.3,6.3,6.3,6.4,6.1,6.5,7,6.3,7,6.7,6.2,6.6,7.1,5.4,6.2,6.9,6.7,6.9,6.8,7.5,6.7,6.5,7.1,6.9,6.8,6.6,7.9,6.6,6.7,7,5.8,6.3,6.3,7,6.3,6.5,6.4,7.1,6.6,7,6.7,6.6,5.7,7.2,7.3,6.8,6.7,6.5,6.8,6.3,6.6,6,6.6,5.8,6,5.5,5.5,5.4,6.1,5.8,5.7,4.3,6.6,5.3,5.5,5.7,5.4,5.6,5.4,5.4,5,5.1,5.1,5.2,5.3,5.5,5,5.2,5.5,5.7,4.7,5.7,5.2,5.2,5.6,5.3,5.2,5.4,5.3,4.6,5.4,4.5,5.5,5.5,5.6,6.1,5.5,5.1,7.5,6.5,5.6,5.1,6.1,6.1,5.7,6.5,6.1,6.9,5.2,6.3,6.9,6.8,7.1,7.2,6.1,6.1,6.8,6,5.7,5.7,5.9,6.1,5.6,5,5.8,6.3,6.6,6,6.5,5.6,6.8,5.6,5.9,6.5,6.1,5.1,5.8,5.8,5.2,5.1,5.4,6.3,5.2,4.6,4.8,4.7,4.5,4.9,5.2,4.6,5.4,5.5,4.7,5.2,5.1,6.3,5.6,5.3,5,5.4,4.8,5.3,4.7,5,5.2,5.1,5.3,5.1,4.3,5.3,5.3,5.4,4.8,4.2,5.1,5,4.7,5.2,5,6.6,5.9,5.3,5.6,5.6,5.6,5.4,5.3,5.6,5.7,5.7,5.1,4.6,5,5.6,5.1,5,5.5,5.1,5.3,5.2,5.1,4.8,5.4,5.2,6,4.8,4.9,5.7,5.2,5.6,5.1,5.5,6,6.3,5.7,6.2,5.7,5.1,5.1,3.7,9.7,7,,5.6(P)
"Job openings rate, Construction",2.5,3.2,3,2.7,4,4,2.5,2.8,1.8,2.5,2,1.9,1.3,1.7,1.4,2,2.2,2.4,2.1,1.7,1.7,2.2,1.8,1.3,1.2,1.5,1.2,1.4,2.5,1.8,1.7,2.2,1.7,1.2,1.5,1.3,1.4,2.3,1.6,2.1,2.5,2.5,1.7,2,2.1,1.6,2,1.6,1.8,1.8,2,2.3,2.2,1.9,1.9,2.3,2.2,2.1,2.3,1.7,1.5,2,1.9,2.3,2.8,2.3,2.3,2.5,2.5,2.2,2,1.4,1.3,3,2.9,2.4,2.8,2.4,2.4,2.6,2.3,1.9,2.1,1.4,1.4,1.9,1.6,1.4,1.6,2.5,2,1.8,1.2,1.6,1,0.8,0.7,0.6,1.1,0.8,0.5,0.8,1.1,0.8,1.1,1.1,0.9,0.8,1,1,1.2,1.5,1.8,1.6,1.5,2,1,1.4,1.2,1.2,0.6,1.1,0.8,1.2,1.6,2.2,1.4,1.7,2,1.5,1.4,1.1,1,1.5,1.1,1.6,2.3,1.8,1.2,1.7,2.3,1.6,1.9,1.3,1.6,2,2,2,2.2,2.3,2.4,1.9,2.2,2,2.3,1.9,1.4,2.5,2,2.1,2.2,2.2,2.7,2.5,2.3,1.7,2.4,1.6,1.6,2.3,2.3,2.6,2.7,2.7,2.4,2.3,2.5,1.6,2.2,1.4,1.7,2.4,2.9,3.1,2.8,2.7,2.7,3.4,2.9,3.5,3.2,2.6,2,2.2,2.6,2.6,3.1,2.5,3,3.4,3.1,2.5,2.9,3,2.5,3.3,2.8,3.1,3.3,3.7,4.2,4.1,4.1,3.8,3.6,3.6,3.8,3.9,3.6,4.5,5.4,4.8,4.2,4.5,4.5,4.2,4.1,2.8,2.8,3.4,3.7,3.1,3.6,4.3,3.3,,4.4(P)
"Total separations rate, Construction",6.3,6.6,7,7.7,6.4,7,6.7,6.3,6.6,6.5,6.9,7.1,6.5,6.4,6.6,6.3,6.7,6.6,6.4,7.3,6.4,7,6.9,6,6.6,6.9,6.2,6.4,6.2,6.5,6.5,6.8,7.4,6.4,6.5,7,6.3,6.6,6.8,6.9,6.1,6,6.6,5.8,6.1,5.9,6.4,6.2,5.9,6.8,6.4,5.9,5.6,6.1,5.9,5.6,6.9,7,6.2,6,6.5,6.2,5.6,5.8,5.4,6.3,5.7,6.1,5.4,5.5,5.9,6.3,5.6,5.6,5.6,5.1,5.5,5.4,5.5,5.9,6.3,5.8,5.4,5.6,5.6,5.6,5.4,5.7,6.5,5.6,6.2,6.5,6.3,5.7,6.7,7.2,6.6,7.7,7,7.5,7.7,6.3,6.4,7.1,5.7,6.7,6.7,5.8,6.6,7,6.5,6.5,6.3,6.3,5.4,6.3,6.1,6.1,6.3,6,7.2,6,5.8,6.2,6.8,6.6,7.4,5.9,6.1,6.2,5.7,5.7,5.3,5.8,6,5.5,5.2,6,6.4,6.6,5.8,6.2,5.2,6.5,4.8,5.8,5.7,5.8,5.3,5.1,5.6,5.2,4.8,4.8,5.7,4.7,4.9,4.1,4.3,4,4.1,4.6,4.3,4.6,4.9,4.2,4.9,4.9,5.7,5.2,4.7,5.5,4.4,4.2,5.3,4.3,4.7,4.8,4.5,4.5,4.4,4.4,5.1,4.8,5.1,5,4.2,4.7,5,4.1,4.8,4.7,6.1,5.5,4.7,5.3,5.5,5.4,5.2,5.4,5.2,5.4,5.4,4.5,4.2,4.7,4.5,5,4.6,4.9,5,5,4.8,4.7,4.5,5.3,4.8,5.3,5.1,4.6,5.4,5.1,5.5,5.1,5.4,5.7,6,5.5,5.7,5.1,4.7,9.9,12.7,4.2,4.8,,4.9(P)
"Hires rate, Manufacturing",2.9,2.9,2.6,2.8,2.6,2.4,2.4,2.3,2.2,2.1,2.4,2.3,2.5,2.3,2.6,2.4,2.7,2.7,2.6,2.7,2.5,2.7,2.5,2.5,2.5,2.8,2.5,2.3,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.6,2.7,2.8,2.7,2.7,2.6,2.9,2.7,2.6,2.7,2.6,2.6,2.6,2.6,2.7,2.6,2.6,2.7,2.7,2.8,2.8,2.7,2.6,2.7,2.7,2.9,2.5,2.7,2.9,2.8,2.7,2.5,2.5,2.6,2.7,2.8,2.7,2.7,2.6,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.6,2.4,2.3,2.3,2.5,2.4,2.3,1.9,2.1,2.3,2.3,1.9,2.1,1.7,2.1,2,1.7,1.5,1.7,2.1,2.1,2.4,2.1,2.1,2.1,2,2.2,2.2,2.4,2.2,2.3,2.4,2.3,2.3,2.3,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,1.9,2.3,2.3,2.2,2.3,2.2,2.1,2.3,2.1,1.9,1.9,2.1,2.1,2,2.1,2,1.8,2,2.3,2,2,2.2,2.2,1.9,2.1,2.1,2,2,2.1,2.1,2.1,2.2,2.2,2,2.4,2.4,2.1,2.2,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.2,2.4,2.3,2.2,2.2,2.3,2.4,2.1,2.2,2.2,2.3,2.3,2.2,2.3,2.3,2.3,2.5,2.5,2.4,2.6,2.6,2.7,2.7,2.7,2.9,2.6,2.8,2.8,2.9,2.9,3,2.9,2.9,2.9,2.9,3,2.9,2.6,3.1,2.9,2.7,2.7,2.7,2.7,2.8,2.6,2.5,2.6,2.6,2.7,2.4,2.8,2.6,2.4,2.6,2.3,2.8,4.5,3.6,,2.6(P)
